1|1
2|1
3|1
4|1
5|1
6|1
7|1
8|1
9|1
10|1
11|1
12|1
13|1
14|1
15|1
16|1
17|1
18|1
19|1
20|1
21|1
22|1
23|1
24|1
25|1
26|1
27|1
28|2
28|3
29|2
29|3
30|2
30|3
31|2
31|3
32|2
32|3
33|2
33|3
34|2
34|3
35|2
35|3
36|2
36|3
37|2
37|3
38|2
38|3
39|2
39|3
40|2
40|3
41|3
41|1
41|2
42|3
42|1
42|2
43|3
43|1
43|2
44|3
44|1
44|2
45|3
45|1
45|2
46|3
46|1
46|2
47|3
47|1
47|2
48|3
48|1
48|2
49|3
49|1
49|2
50|3
50|1
50|2
51|3
51|1
51|2
52|3
52|1
52|2
53|4
53|5
53|6
54|4
54|5
54|6
55|4
55|5
55|6
56|4
56|5
56|6
57|4
57|5
57|6
58|4
58|5
58|6
59|4
59|5
59|6
60|4
60|5
60|6
61|6
61|7
61|8
62|6
62|7
62|8
63|6
63|7
63|8
64|6
64|7
64|8
65|6
65|7
65|8
66|6
66|7
66|8
67|6
67|7
67|8
68|9
68|6
68|8
69|6
69|7
70|6
70|7
71|6
71|7
72|6
72|7
73|6
73|7
74|6
74|7
75|6
75|7
76|6
76|7
77|10
78|11
79|12
79|13
79|14
79|15
80|10
80|16
81|10
81|17
82|10
82|17
83|10
83|17
84|10
84|17
85|10
85|17
86|10
86|17
87|10
87|17
88|10
88|17
89|10
89|17
90|10
90|17
91|17
91|18
92|17
92|18
93|17
93|18
94|17
94|18
95|17
95|18
96|17
96|18
97|17
97|18
98|17
98|18
99|17
99|18
100|17
100|18
101|17
101|18
102|17
102|18
103|17
103|18
